category,rank,company,domain,status,notes
Top 50 government relations firms by lobbying revenue,8,Invariant,invariantgr.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,9,Thorn Run Partners,thornrun.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,10,Cassidy & Associates,cassidy.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,11,Mehlman Consulting,mehlmanconsulting.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,12,Crossroads Strategies,crshq.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,13,Continental Strategy,continentalstrategy.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,14,Forbes Tate Partners,forbes-tate.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,15,Mercury Public Affairs,mercuryllc.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,16,Capitol Counsel,capitolcounsel.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,17,S-3 Group,s3publicaffairs.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,18,Tiber Creek Group,tibercreekgroup.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,19,Squire Patton Boggs,squirepattonboggs.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,20,Strategic Marketing Innovations,smidc.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,21,Checkmate Government Relations,checkmategr.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,22,K&L Gates,klgates.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,23,Alpine Group,alpinegroup.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,24,Van Scoyoc Associates,vsadc.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,25,"Tarplin, Downs & Young (TDY @ FGS)",fgsglobal.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,26,Williams & Jensen,williamsandjensen.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,27,CGCN Group,cgcn.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,28,Avōq,avoq.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,29,Mindset Advocacy,mindsetdc.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,30,Vogel Group,vogelgroupdc.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,31,Hogan Lovells,hoganlovells.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,32,Venture Government Strategies,venturegov.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,33,Michael Best Strategies,michaelbeststrategies.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,34,Capitol Tax Partners,capitoltax.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,35,Monument Advocacy,monumentadvocacy.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,36,Venable,venable.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,37,DLA Piper,dlapiper.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,38,Todd Strategy Group,toddstrategy.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,39,Alston & Bird,alston.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,40,Harbinger Strategies,harbingerdc.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,41,Venn Strategies,vennstrategies.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,42,Kountoupes Denham Carr & Reid,kdcrpartners.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,43,J.A. Green & Co.,jagreenco.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,44,OGR (Ogilvy Government Relations),ogrdc.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,45,Arnold & Porter,arnoldporter.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,46,Ferguson Group,thefergusongroup.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,47,Capitol Hill Consulting Group,capitolhillcg.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,48,Foley & Lardner,foley.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,49,Klein/Johnson Group,kleinjohnson.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Top 50 government relations firms by lobbying revenue,50,Washington Tax & Public Policy Group,wtppg.com,ground_truth,Ground truth source; original ranking type: BGOV Top Lobbying Firm
Tier 1 strategy consulting firms,1,McKinsey & Company,mckinsey.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 1 (MBB)
Tier 1 strategy consulting firms,2,Boston Consulting Group (BCG),bcg.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 1 (MBB)
Tier 1 strategy consulting firms,3,Bain & Company,bain.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 1 (MBB)
Tier 2 strategy consulting firms,1,Oliver Wyman,oliverwyman.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 2
Tier 2 strategy consulting firms,2,Roland Berger,rolandberger.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 2
Tier 2 strategy consulting firms,3,Kearney,kearney.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 2
Tier 2 strategy consulting firms,4,L.E.K. Consulting,lek.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 2
Tier 2 strategy consulting firms,5,Strategy& (PwC),strategyand.pwc.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 2
Tier 2 strategy consulting firms,6,EY-Parthenon,parthenon.ey.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 2
Tier 2 strategy consulting firms,9,Alvarez & Marsal,alvarezandmarsal.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 2
Tier 2 strategy consulting firms,10,OC&C Strategy Consultants,occstrategy.com,ground_truth,Ground truth source; original ranking type: Strategy Consulting; original rank: Tier 2
Accounting Today Top 100 accounting firms,1,Deloitte,deloitte.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,2,PwC,pwc.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,3,Ernst & Young,ey.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,4,KPMG,kpmg.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,5,RSM,rsmus.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,6,Baker Tilly,bakertilly.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,7,BDO USA,bdo.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,8,CBIZ,cbiz.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,9,Grant Thornton,grantthornton.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,10,Forvis Mazars,forvismazars.us,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,11,CLA,claconnect.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,12,Crowe,crowe.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,13,Eisner Advisory Group,eisneramper.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,14,Plante Moran,plantemoran.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,15,CohnReznick,cohnreznick.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,16,Citrin Cooperman,citrincooperman.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,17,Cherry Bekaert,cherrybekaert.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,18,Eide Bailly,eidebailly.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,19,Armanino,armanino.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,20,Aprio,aprio.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,21,Wipfli,wipfli.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,22,Withum,withum.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,23,"Carr, Riggs & Ingram",cricpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,24,Ascend,ascendtogether.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,25,PKF O’Connor Davies,pkfod.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,26,UHY,uhy-us.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,27,Sikich,sikich.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,28,Crete Professionals,cretepa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,29,Weaver,weaver.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,30,Kearney & Co.,kearneyco.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,31,HCVT,hcvt.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,32,Novogradac & Co.,novoco.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,33,BPM,bpm.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,34,Whitley Penn,whitleypenn.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,35,LBMC,lbmc.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,36,RubinBrown,rubinbrown.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,37,Doeren Mayhew,doeren.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,38,"Frank, Rimerman + Co.",frankrimerman.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,39,Rehmann,rehmann.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,40,Cohen & Co.,cohencpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,41,Platform Accounting Group,platformaccounting.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,42,"Katz, Sapper & Miller",ksmcpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,43,The Bonadio Group,bonadio.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,44,BerryDunn,berrydunn.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,45,Frazier & Deeter,frazierdeeter.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,46,Schellman,schellman.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,47,Elliott Davis,elliottdavis.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,48,Sorren,sorren.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,49,"Hill, Barth & King",hbkcpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,50,Richey May,richeymay.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,51,Warren Averett,warrenaverett.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,52,Miller Cooper & Co.,millercooper.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,53,Grassi,grassicpas.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,54,Springline,springlineadvisory.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,55,Kaufman Rossin,kaufmanrossin.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,56,Anchin,anchin.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,57,Blue & Co.,blueandco.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,58,RKL,rklcpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,59,Your Part-Time Controller,yptc.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,60,Sax,saxllp.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,61,Schneider Downs,schneiderdowns.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,62,Prager Metis,pragermetis.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,63,SC&H,schgroup.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,64,Pinion,pinionglobal.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,65,Bennett Thrasher,btcpa.net,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,66,Smith + Howard,smith-howard.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,67,Mauldin & Jenkins,mjcpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,68,SingerLewak,singerlewak.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,69,Dean Dorton,deandorton.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,70,Clark Schaefer Hackett,cshco.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,71,Wolf & Co.,wolfandco.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,72,Aldrich,aldrichadvisors.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,73,Lutz,lutz.us,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,74,FGMK,fgmk.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,75,Archer Lewis,archerlewis.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,76,Anders,anderscpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,77,PBMares,pbmares.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,78,Rea,reacpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,79,"Brown, Edwards & Co.",becpas.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,80,Cain Watters & Associates,cainwatters.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,81,KLR,kahnlitwin.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,82,HoganTaylor,hogantaylor.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,83,BMSS,bmss.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,84,Sensiba,sensiba.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,85,PYA,pyapc.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,86,Gursey Schneider,gursey.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,87,Smith Leonard,smith-leonard.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,88,Clark Nuber,clarknuber.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,89,GBQ,gbq.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,90,HHM CPAs,hhmcpas.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,91,Nichols Cauley,nicholscauley.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,92,Miller Kaplan,millerkaplan.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,93,AAFCPAs,aafcpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,94,Prosperity Partners,prosperityllc.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,95,Wiss & Co.,wiss.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,96,Haynie & Co.,hayniecpas.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,97,REDW,redw.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,98,Baker Newman Noyes,bnncpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,99,Kemper CPA Group,kempercpa.com,source_pdf_rotated_table,
Accounting Today Top 100 accounting firms,100,YHB,yhbcpa.com,source_pdf_rotated_table,
